UniqueID,ParcelID,LandUse,SaleDate,SalePrice,LegalReference,SoldAsVacant,TaxDistrict,Owner_Address,Owner_City,Property_Address,Property_City,LandUse_Grp,SalePrice_Grp,SaleYear
243,033 03 0B 067.00,SINGLE FAMILY,01/11/2013,"165,000",20130116-0005229,No,GENERAL SERVICES DISTRICT,184  IVY HILL LN,GOODLETTSVILLE,184  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
667,012 03 0 023.00,SINGLE FAMILY,02/08/2013,"129,900",20130215-0015687,No,GENERAL SERVICES DISTRICT,621  GAYLEMORE DR,GOODLETTSVILLE,621  GAYLEMORE DR,GOODLETTSVILLE,HOME,100K-199K,2013
668,026 09 0 028.00,SINGLE FAMILY,02/25/2013,"244,000",20130227-0019536,No,CITY OF GOODLETTSVILLE,119  CIMA DR,GOODLETTSVILLE,119  CIMA DR,GOODLETTSVILLE,HOME,200K-299K,2013
669,032 13 0 007.00,SINGLE FAMILY,02/25/2013,"52,000",20130228-0020315,No,GENERAL SERVICES DISTRICT,4225  WINTERBROOK RD,NASHVILLE,4225  WINTERBROOK RD,NASHVILLE,HOME,Below 100K,2013
673,026 03 0 007.00,SINGLE FAMILY,02/25/2013,"145,000",20130228-0019937,No,CITY OF GOODLETTSVILLE,329  WITHAM CT,GOODLETTSVILLE,329  WITHAM CT,GOODLETTSVILLE,HOME,100K-199K,2013
674,026 07 0 141.00,SINGLE FAMILY,02/19/2013,"115,000",20130221-0017353,No,CITY OF GOODLETTSVILLE,104  DOVER CT,GOODLETTSVILLE,104  DOVER CT,GOODLETTSVILLE,HOME,100K-199K,2013
1207,012 03 0 018.00,SINGLE FAMILY,03/15/2013,"160,000",20130319-0026986,No,GENERAL SERVICES DISTRICT,609  SUNNYSLOPE CT,GOODLETTSVILLE,609  SUNNYSLOPE CT,GOODLETTSVILLE,HOME,100K-199K,2013
1208,025 03 0 015.00,SINGLE FAMILY,03/25/2013,"20,000",20130327-0029795,No,CITY OF GOODLETTSVILLE,517  MONCRIEF AVE,GOODLETTSVILLE,517  MONCRIEF AVE,GOODLETTSVILLE,HOME,Below 100K,2013
1215,026 06 0 113.00,SINGLE FAMILY,03/26/2013,"155,000",20130401-0031009,No,CITY OF GOODLETTSVILLE,507  HANOVER CT,GOODLETTSVILLE,507  HANOVER CT,GOODLETTSVILLE,HOME,100K-199K,2013
1216,026 06 0A 005.00,RESIDENTIAL CONDO,03/19/2013,"106,800",20130325-0029084,No,GENERAL SERVICES DISTRICT,210  WYNDOM CT,GOODLETTSVILLE,210  WYNDOM CT,GOODLETTSVILLE,HOME,100K-199K,2013
1217,026 07 0 048.00,SINGLE FAMILY,03/22/2013,"123,000",20130326-0029525,No,CITY OF GOODLETTSVILLE,103  AINTREE CT,GOODLETTSVILLE,103  AINTREE CT,GOODLETTSVILLE,HOME,100K-199K,2013
1664,188 10 0A 054.00,SINGLE FAMILY,04/19/2013,"137,000",20130425-0040972,No,GENERAL SERVICES DISTRICT,2025  OAK TRAIL DR,NOLENSVILLE,2025  OAK TRAIL DR,NOLENSVILLE,HOME,100K-199K,2013
2045,007 00 0 125.00,SINGLE FAMILY,04/09/2013,"240,000",20130412-0036474,No,GENERAL SERVICES DISTRICT,1808  FOX CHASE DR,GOODLETTSVILLE,1808  FOX CHASE DR,GOODLETTSVILLE,HOME,200K-299K,2013
2046,018 12 0A 004.00,SINGLE FAMILY,04/30/2013,"124,900",20130502-0043992,No,GENERAL SERVICES DISTRICT,105  JUDITH CT,GOODLETTSVILLE,105  JUDITH CT,GOODLETTSVILLE,HOME,100K-199K,2013
2047,018 16 0 136.00,VACANT RESIDENTIAL LAND,04/12/2013,"20,000",20130416-0037646,Yes,CITY OF GOODLETTSVILLE,335  MONCRIEF AVE,GOODLETTSVILLE,335  MONCRIEF AVE,GOODLETTSVILLE,LAND,Below 100K,2013
2048,026 01 0 052.00,VACANT RESIDENTIAL LAND,04/29/2013,"22,500",20130501-0043874,No,CITY OF GOODLETTSVILLE,126  EAST AVE,GOODLETTSVILLE,126  EAST AVE,GOODLETTSVILLE,LAND,Below 100K,2013
2049,032 10 0 024.00,SINGLE FAMILY,04/26/2013,"194,000",20130430-0043007,No,GENERAL SERVICES DISTRICT,4633  SETTER CT,NASHVILLE,4633  SETTER CT,NASHVILLE,HOME,100K-199K,2013
2050,033 03 0B 060.00,SINGLE FAMILY,04/29/2013,"145,000",20130501-0043368,No,GENERAL SERVICES DISTRICT,170  IVY HILL LN,GOODLETTSVILLE,170  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
2081,026 02 0 018.00,SINGLE FAMILY,04/22/2013,"164,900",20130424-0040730,No,CITY OF GOODLETTSVILLE,511  HANOVER CT,GOODLETTSVILLE,511  HANOVER CT,GOODLETTSVILLE,HOME,100K-199K,2013
2082,026 02 0 022.00,SINGLE FAMILY,04/15/2013,"186,900",20130417-0038218,No,CITY OF GOODLETTSVILLE,501  HANOVER CT,GOODLETTSVILLE,501  HANOVER CT,GOODLETTSVILLE,HOME,100K-199K,2013
2083,026 06 0 034.00,SINGLE FAMILY,04/25/2013,"139,900",20130429-0042127,No,CITY OF GOODLETTSVILLE,117  BROCKHAMPTON CT,GOODLETTSVILLE,117  BROCKHAMPTON CT,GOODLETTSVILLE,HOME,100K-199K,2013
2084,026 06 0 057.00,ZERO LOT LINE,04/05/2013,"112,000",20130408-0034147,No,CITY OF GOODLETTSVILLE,104  CHESHIRE CT,GOODLETTSVILLE,104  CHESHIRE CT,GOODLETTSVILLE,HOME,100K-199K,2013
2085,026 06 0 107.00,SINGLE FAMILY,04/29/2013,"150,000",20130502-0044195,No,CITY OF GOODLETTSVILLE,108  SWANTON CT,GOODLETTSVILLE,108  SWANTON CT,GOODLETTSVILLE,HOME,100K-199K,2013
2086,026 07 0 179.00,SINGLE FAMILY,04/30/2013,"148,000",20130508-0046263,No,CITY OF GOODLETTSVILLE,102  OXFORD CT,GOODLETTSVILLE,102  OXFORD CT,GOODLETTSVILLE,HOME,100K-199K,2013
2087,026 07 0 182.00,SINGLE FAMILY,04/30/2013,"167,900",20130521-0051114,No,CITY OF GOODLETTSVILLE,107  TUDOR CT,GOODLETTSVILLE,107  TUDOR CT,GOODLETTSVILLE,HOME,100K-199K,2013
3267,015 14 0 071.00,SINGLE FAMILY,05/10/2013,"103,500",20130513-0047997,No,GENERAL SERVICES DISTRICT,3107  MARGIE DR,JOELTON,3107  MARGIE DR,JOELTON,HOME,100K-199K,2013
3268,032 09 0 127.00,SINGLE FAMILY,05/07/2013,"152,000",20130610-0058855,No,GENERAL SERVICES DISTRICT,4640  INDIAN SUMMER DR,NASHVILLE,4640  INDIAN SUMMER DR,NASHVILLE,HOME,100K-199K,2013
3269,033 01 0 005.00,SINGLE FAMILY,05/31/2013,"135,000",20130610-0058736,No,GENERAL SERVICES DISTRICT,958  CARLIN ST,GOODLETTSVILLE,958  CARLIN ST,GOODLETTSVILLE,HOME,100K-199K,2013
3270,033 03 0 006.00,SINGLE FAMILY,05/03/2013,"209,000",20130508-0046692,No,CITY OF GOODLETTSVILLE,197  DRY CREEK RD,GOODLETTSVILLE,197  DRY CREEK RD,GOODLETTSVILLE,HOME,200K-299K,2013
3271,033 03 0B 051.00,SINGLE FAMILY,05/01/2013,"162,900",20130508-0046238,No,GENERAL SERVICES DISTRICT,110  IVY HILL LN,GOODLETTSVILLE,110  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
3272,033 03 0B 100.00,SINGLE FAMILY,05/15/2013,"180,000",20130517-0050082,No,GENERAL SERVICES DISTRICT,122  IVY HILL LN,GOODLETTSVILLE,122  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2013
